Genome partition ID	(sub)Type / Coordinates	Strand	Cas gene
NC_013887	566777..567175	+	csm2gr11
NC_013887	567202..567939	+	csm3gr7
NC_013887	567994..569052	+	csm4gr5
NC_013887	569036..570145	+	csm5gr7
NC_013887	570145..571524	+	csx1
NC_013887	CAS-I-B;CAS-I-A		
NC_013887	1135832..1136542	+	cas6
NC_013887	1136691..1138253	+	cas8b1
NC_013887	1138254..1139159	+	cas7
NC_013887	1139172..1139948	+	cas5
NC_013887	1139948..1142311	+	cas3
NC_013887	1142323..1142835	+	cas4
NC_013887	1142845..1143813	+	cas1
NC_013887	1144125..1144475	+	csa5gr11
NC_013887	1144475..1145425	+	cas7
NC_013887	1145437..1146159	+	cas5
NC_013887	1146156..1147343	+	cas8a1
NC_013887	1147340..1148989	+	cas3
NC_013887	1148986..1149693	+	cas3HD
NC_013887	1149665..1150285	+	casR
NC_013887	1150289..1150552	-	cas2
NC_013156	CAS-III-C		
NC_013156	269488..270648	+	cmr1gr7
NC_013156	270629..271741	+	cmr6gr7
NC_013156	271732..272121	+	-
NC_013156	272081..275251	+	cas10
NC_013156	275429..276808	+	GGCT-like domains, also called,cmr4gr7
NC_013156	276826..277287	+	cmr5gr11
NC_013156	277287..278093	+	cmr3gr5
NC_013156	CAS-III-A		
NC_013156	906833..907576	-	csx1
NC_013156	907650..907778	-	-
NC_013156	907778..909136	-	csx1
NC_013156	909136..910269	-	csm5gr7
NC_013156	910259..911389	-	csm4gr5
NC_013156	911417..912310	-	csm3gr7
NC_013156	912350..912760	-	csm2gr11
NC_013156	912765..915473	-	cas10
NC_013156	CAS-I-A;CAS-I-B		
NC_013156	1343774..1344037	+	cas2
NC_013156	1344046..1344666	-	casR
NC_013156	1344638..1345345	-	cas3HD
NC_013156	1345342..1346991	-	cas3
NC_013156	1346988..1348175	-	cas8a1
NC_013156	1348172..1348894	-	cas5
NC_013156	1348906..1349853	-	cas7
NC_013156	1349853..1350203	-	csa5gr11
NC_013156	1350516..1351484	-	cas1
NC_013156	1351494..1352006	-	cas4
NC_013156	1352015..1354378	-	cas3
NC_013156	1354378..1355154	-	cas5
NC_013156	1355167..1356072	-	cas7
NC_013156	1356073..1357635	-	cas8b1
NC_013156	1357771..1358481	-	cas6
NC_014122	CAS-III-C		
NC_014122	150015..151295	+	cmr4gr7,cmr4gr7
NC_014122	151288..151677	+	cmr5gr11
NC_014122	151679..152536	+	cmr3gr5
NC_014122	152526..153860	+	cmr1gr7
NC_014122	153857..154996	+	cmr6gr7
NC_014122	154986..158597	+	cas10
NC_014122	CAS-I-B		
NC_014122	827230..828585	+	cas8b2
NC_014122	828582..829679	+	cas7
NC_014122	829666..830313	+	cas5
NC_014122	830291..832516	+	cas3
NC_014122	833046..834014	+	cas1
NC_014122	834011..834268	-	cas2
NC_014122	CAS-I-B		
NC_014122	1073955..1074623	-	cas6
NC_014122	1074642..1076894	-	cas3
NC_014122	1076907..1077626	-	cas5
NC_014122	1077653..1078540	-	cas7
NC_014122	1078537..1080393	-	cas8b1
NC_014122	1080405..1081403	+	cas1
NC_014122	1081400..1081684	+	cas2
NC_014122	1081656..1082276	+	cas4
NC_000909	CAS-I-A		
NC_000909	339917..340681	+	cas6
NC_000909	341045..343231	+	cas3
NC_000909	343240..343752	+	cas4
NC_000909	343918..344886	+	cas1
NC_000909	344883..345509	-	casR
NC_000909	345618..345974	+	csa5gr11
NC_000909	345974..346936	+	cas7
NC_000909	346946..347683	+	cas5
NC_000909	347674..349518	+	cas3
NC_000909	349525..350259	+	cas3HD
NC_000909	350177..351304	+	cas8a2
NC_000909	351301..351645	-	cas2
NC_000909	CAS-III-A		
NC_000909	1648677..1650074	-	csx1
NC_000909	1650074..1651330	-	csm5gr7
NC_000909	1651185..1652315	-	csm4gr5
NC_000909	1652367..1653113	-	csm3gr7
NC_000909	1653140..1653541	-	csm2gr11
NC_000909	1653541..1653678	-	-
NC_000909	1653798..1656200	-	cas10
NC_000909	1656235..1656624	-	csx20
NC_000909	1656629..1658533	-	csx1
NC_013407	CAS-I-D		
NC_013407	747..1010	+	cas2
NC_013407	1045..2013	-	cas1
NC_013407	2259..2774	-	cas4
NC_013407	2797..4785	-	cas3
NC_013407	4810..5442	-	csc1gr5
NC_013407	5444..6490	-	csc2gr7
NC_013407	6505..9084	-	cas10d
NC_013407	9237..9839	+	casR
NC_013407	9861..10613	-	cas6
NC_013407	CAS-III-A		
NC_013407	1121138..1123066	+	csx1
NC_013407	1123071..1123460	+	csx20
NC_013407	1123519..1126236	+	cas10
NC_013407	1126241..1126663	+	csm2gr11
NC_013407	1126714..1127442	+	csm3gr7
NC_013407	1127497..1128639	+	csm4gr5
NC_013407	1128629..1129771	+	csm5gr7
NC_013407	1129771..1131222	+	csx1
NC_013407	CAS-III-A		
NC_013407	1205747..1207009	+	csx1
NC_013407	1207012..1209318	+	cas10
NC_013407	1209319..1209897	+	csm2gr11
NC_013407	1209897..1210778	+	csm3gr7
NC_013407	1210753..1211715	+	csm4gr5
NC_013407	1211712..1212809	+	csm5gr7
NC_013407	CAS-III-C		
NC_013407	1291430..1292581	+	cmr1gr7
NC_013407	1292574..1293845	+	cmr6gr7
NC_013407	1293826..1297419	+	cas10
NC_013407	1297432..1297878	+	GGCT-like domains, also called
NC_013407	1297868..1298956	+	cmr4gr7
NC_013407	1298993..1299361	+	cmr5gr11
NC_013407	1299361..1300203	+	cmr3gr5
NC_009464	CAS-I-E		
NC_009464	1756577..1756867	-	cas2
NC_009464	1756874..1757815	-	cas1
NC_009464	1757820..1758572	-	cas6e
NC_009464	1758572..1759255	-	cas5
NC_009464	1759270..1760445	-	cas7
NC_009464	1760442..1761032	-	cse2gr11
NC_009464	1761029..1762630	-	cas8e
NC_009464	1762635..1765304	-	cas3
NC_017034	CAS-I-B		
NC_017034	1145207..1145791	-	cas4
NC_017034	1145793..1146836	-	cas1
NC_017034	1146870..1147754	-	cas4
NC_017034	1147759..1148043	-	cas2
NC_017034	1148040..1148642	-	casR
NC_017034	1148855..1149133	+	Nucleotidyltransferase (NT) do
NC_017034	1149560..1150207	+	Tfp pilus assembly protein Pil
NC_017034	1150452..1150892	-	-
NC_017034	1151003..1151422	-	Helix-turn-helix domain. This
NC_017034	1152571..1154349	+	cas8b5
NC_017034	1154351..1155322	+	cas7
NC_017034	1155344..1156297	+	cas5
NC_017034	1156299..1157048	+	-
NC_017034	1157038..1159089	+	cas3
NC_017034	1159179..1160081	+	cas6
NC_007955	CAS-I-E		
NC_007955	602025..604790	+	cas3
NC_007955	604805..606391	+	cas8e
NC_007955	606512..606943	+	cse2gr11
NC_007955	606965..608068	+	cas7
NC_007955	608089..608823	+	cas5
NC_007955	608833..609507	+	cas6e
NC_007955	609520..610431	+	cas1
NC_007955	610412..610693	+	cas2
NC_007955	CAS-I-B		
NC_007955	1203460..1204185	+	cas6
NC_007955	1204231..1206108	+	cas8b1
NC_007955	1206133..1206993	+	cas7b
NC_007955	1206994..1207788	+	cas5
NC_007955	1207778..1210420	+	cas3
NC_007955	1210526..1211125	+	cas4
NC_007955	1211168..1212169	+	cas1
NC_007955	1212171..1212434	+	cas2
NC_009635	CAS-I-B;CAS-III-A		
NC_009635	1112531..1113193	-	cas6
NC_009635	1113202..1115520	-	cas3
NC_009635	1115538..1116308	-	cas5
NC_009635	1116369..1117361	-	cas7
NC_009635	1117354..1119207	-	cas8b1
NC_009635	1119336..1120340	+	cas1
NC_009635	1120337..1120630	+	cas2
NC_009635	1120631..1121224	+	cas4
NC_009635	1123264..1124796	-	csx1
NC_009635	1124845..1126353	-	csx1
NC_009635	1126329..1127486	-	csm5gr7
NC_009635	1127483..1128634	-	csm4gr5
NC_009635	1128683..1129411	-	csm3gr7
NC_009635	1129471..1129971	-	csm2gr11
NC_009635	1129988..1132504	-	cas10
NC_009135	CAS-I-B		
NC_009135	733892..734548	-	cas6
NC_009135	734558..737020	-	cas3
NC_009135	737028..737729	-	cas5
NC_009135	737740..738618	-	cas7b
NC_009135	738611..740563	-	cas8b1
NC_009135	740608..741636	+	cas1
NC_009135	741641..741931	+	cas2
NC_009135	741906..742526	+	cas4
NC_015847	CAS-I-B		
NC_015847	1021838..1022491	-	cas6
NC_015847	1022500..1024797	-	cas3
NC_015847	1024781..1025446	-	cas5
NC_015847	1025455..1026330	-	cas7
NC_015847	1026330..1028033	-	cas8b1
NC_015847	1028063..1029091	+	cas1
NC_015847	1029096..1029386	+	cas2
NC_015847	1029361..1029990	+	cas4
NC_009634	CAS-III-B		
NC_009634	116338..117351	+	cmr1gr7
NC_009634	117348..118934	+	cas10
NC_009634	118934..120022	+	cmr3gr5
NC_009634	120024..120845	+	cmr4gr7
NC_009634	120867..121256	+	cmr5gr11
NC_009634	121246..122250	+	cmr6gr7
NC_009634	122251..124158	-	Escherichia coli CorA-Salmonel
NC_009634	124183..124935	-	-
NC_009634	124965..125615	-	cas6
NC_009634	125739..126707	+	cas1
NC_009634	126714..127004	+	cas2
NC_009634	CAS-I-B		
NC_009634	270468..271097	-	cas4
NC_009634	271072..271362	-	cas2
NC_009634	271367..272347	-	cas1
NC_009634	272426..274105	+	cas8b1
NC_009634	274105..274980	+	cas7
NC_009634	274990..275667	+	cas5
NC_009634	275651..277948	+	cas3
NC_009634	277957..278610	+	cas6
NC_014222	CAS-I-B;CAS-III-B		
NC_014222	542258..542875	-	cas4
NC_014222	542844..543140	-	cas2
NC_014222	543168..544157	-	cas1
NC_014222	544347..546092	+	cas8b1
NC_014222	546173..547051	+	cas7
NC_014222	547129..547854	+	cas5
NC_014222	547835..550480	+	cas3
NC_014222	550500..551174	+	cas6
NC_014222	551236..551643	-	-
NC_014222	551698..552798	-	cmr6gr7
NC_014222	552810..553184	-	cmr5gr11
NC_014222	553177..554007	-	cmr4gr7
NC_014222	554004..555251	-	cmr3gr5
NC_014222	555252..556994	-	cas10
NC_014222	556978..558333	-	cmr1gr7
NC_014222	CAS-III-B;CAS-I-B		
NC_014222	574171..575217	-	cmr6gr7
NC_014222	575226..575654	-	cmr5gr11
NC_014222	575672..576541	-	cmr4gr7
NC_014222	576554..577930	-	csx1
NC_014222	577939..579009	-	cmr3gr5
NC_014222	579012..580769	-	cas10
NC_014222	580762..581943	-	cmr1gr7
NC_014222	594626..594889	-	cas2
NC_014222	594910..595875	-	cas1
NC_014222	596018..596560	-	cas4
NC_014222	596716..599205	-	cas3
NC_014222	599205..599951	-	cas5
NC_014222	600047..601138	-	cas7
NC_014222	601229..602170	-	-
NC_014222	602163..603554	-	cas8b2
NC_014222	603659..604411	-	cas6
NC_008942	CAS-I-C		
NC_008942	830976..831899	-	cas7
NC_008942	831901..833850	-	cas8c
NC_008942	833847..834560	-	cas5
NC_008942	834589..837093	-	cas3
NC_008942	837197..837871	+	cas4
NC_008942	837855..838889	+	cas1
NC_008942	838893..839183	+	cas2
NC_018227	CAS-I-U		
NC_018227	2617565..2620030	+	cas3
NC_018227	2620027..2622432	+	cas8u1,cas8u1
NC_018227	2622459..2623487	+	cas7
NC_018227	2623500..2624990	+	csb2gr5
NC_018227	2625133..2626818	+	cas4,cas1
NC_021353	CAS-I-B		
NC_021353	922114..922818	+	cas6
NC_021353	922823..924496	+	cas8b2,cas8b2
NC_021353	924489..925358	+	cas7
NC_021353	925351..926079	+	cas5
NC_021353	926181..928304	+	cas3
NC_021353	928316..928801	+	cas4
NC_021353	928811..929803	+	cas1
NC_021353	929854..930102	+	cas2
NC_019977	CAS-III-C		
NC_019977	1146204..1146857	+	cas6
NC_019977	1146848..1147816	+	cas1
NC_019977	1147829..1148119	+	cas2
NC_019977	1148128..1148739	+	cas4
NC_019977	1148923..1149180	-	-
NC_019977	1149913..1151103	+	RT_G2_intron: Reverse transcri
NC_019977	1151201..1151485	+	-
NC_019977	1151568..1152536	+	cmr1gr7
NC_019977	1152533..1153417	+	cmr6gr7
NC_019977	1153428..1156391	+	cas10
NC_019977	1156394..1157389	+	cmr4gr7
NC_019977	1157392..1157760	+	cmr5gr11
NC_019977	1157757..1158647	+	cmr3gr5
NC_003551	CAS-III		
NC_003551	1292953..1294143	+	csm6
NC_003551	1294371..1295660	+	-
NC_003551	1295771..1296877	-	-
NC_003551	1298182..1300266	-	cmr4gr7,cmr6gr7
NC_003551	1301091..1303472	+	cas10
NC_003551	1303469..1304803	+	cmr3gr5
NC_003551	1304800..1305828	+	cmr4gr7
NC_003551	CAS-III-A		
NC_003551	1324335..1324640	-	cas2
NC_003551	1324652..1326787	-	Argonaute homolog, implicated
NC_003551	1326771..1327766	-	cas1
NC_003551	1329452..1330918	-	-
NC_003551	1331274..1334015	+	cas10
NC_003551	1334017..1334541	+	csm2gr11
NC_003551	1334554..1335609	+	csm3gr7
NC_003551	1335611..1336702	+	csm4gr5
NC_003551	1336699..1338027	+	csx1
NC_003551	1338024..1339115	+	csm5gr7
NC_019943	CAS-I-B		
NC_019943	2103918..2104511	-	cas4
NC_019943	2104514..2104807	-	cas2
NC_019943	2104818..2105786	-	cas1
NC_019943	2105750..2106463	-	cas6
NC_019943	2106472..2108910	-	cas3
NC_019943	2108915..2109667	-	cas5
NC_019943	2109677..2110747	-	cas7b
NC_019943	2110740..2112764	-	cas8b1
NC_019943	2113442..2114713	+	Predicted ATPase (AAA+ superfa
NC_019943	2114664..2115005	-	-
NC_019943	2115063..2117072	+	DinG
NC_019943	CAS-I-C		
NC_019943	2648722..2649012	-	cas2
NC_019943	2649023..2650054	-	cas1
NC_019943	2650104..2650790	-	cas4
NC_019943	2650787..2651638	-	cas7
NC_019943	2651635..2653521	-	cas8c
NC_019943	2653518..2654183	-	cas5
NC_019943	2654191..2656377	-	Metal dependent phosphohydrola,cas3
NC_015416	CAS-I-B		
NC_015416	2750620..2751276	-	cas6
NC_015416	2751286..2753754	-	cas3
NC_015416	2753729..2754442	-	cas5
NC_015416	2754450..2755370	-	cas7
NC_015416	2755373..2757256	-	cas8b1
NC_015416	2757370..2758005	-	cas4
NC_015416	2758007..2758294	-	cas2
NC_015416	2758297..2759421	-	cas1
NC_015416	partial CAS-I-A		
NC_015416	2840113..2841054	-	cas4
NC_015416	2841087..2841680	-	cas4
NC_015416	2841781..2842059	-	cas2
NC_015416	2842091..2843104	-	cas1
NC_015416	2843201..2845603	+	cas3
NC_015416	2845605..2847323	+	cas8a4
NC_015416	2847976..2849295	-	Transposase. Transposase prote,Transposase IS116/IS110/IS902
NC_015416	2849846..2850454	-	-
NC_015416	2850475..2850942	-	Transposase and inactivated de
NC_015416	2851053..2851790	+	cas5
NC_017527	CAS-III-B		
NC_017527	1827744..1829726	+	cas4,cas1
NC_017527	1829731..1830027	+	cas2
NC_017527	1833368..1833775	-	-
NC_017527	1833899..1834207	-	csx3
NC_017527	1834204..1835187	-	csx1
NC_017527	1835234..1836250	-	cmr6gr7
NC_017527	1836231..1836590	-	cmr5gr11
NC_017527	1836654..1837502	-	cmr4gr7
NC_017527	1837515..1838651	-	cmr3gr5
NC_017527	1838648..1840480	-	cas10
NC_017527	1840604..1841788	-	cmr1gr7
NC_017527	1842337..1843332	-	csb2gr5
NC_008553	CAS-I-B;CAS-III-B		
NC_008553	663202..663489	+	cas2
NC_008553	663526..664101	+	cas4
NC_008553	664105..665961	+	cas8b1
NC_008553	665958..666923	+	cas7b
NC_008553	666933..667634	+	cas5
NC_008553	667609..670023	+	cas3
NC_008553	670030..670872	+	cas6
NC_008553	677993..678262	-	csx3
NC_008553	678262..679476	-	csx1
NC_008553	679481..680506	-	cmr6gr7
NC_008553	680509..680910	-	cmr5gr11
NC_008553	680907..681710	-	cmr4gr7
NC_008553	681722..682798	-	cmr3gr5
NC_008553	682795..684711	-	cas10
NC_008553	684695..685960	-	cmr1gr7
NC_008553	685957..687708	-	csx1
NC_008553	partial CAS-I-D		
NC_008553	1690256..1691245	+	csc2gr7
NC_008553	1691251..1692012	+	csc1gr5
NC_008553	1692023..1694113	+	cas3
NC_008553	1694100..1694672	+	cas4
NC_008553	1694669..1695661	+	cas1
NC_008553	1695658..1695924	+	cas2
NC_008553	1700482..1701111	-	casR
NC_008553	1701139..1702116	+	cas6
NC_015676	CAS-I-E		
NC_015676	1669290..1669586	-	cas2
NC_015676	1669567..1670478	-	cas1
NC_015676	1670489..1671172	-	cas6e
NC_015676	1671175..1671897	-	cas5
NC_015676	1671919..1673037	-	cas7
NC_015676	1673056..1673547	-	cse2gr11
NC_015676	1673579..1675153	-	cas8e
NC_015676	1675169..1677922	-	cas3
NC_003552	CAS-III-A		
NC_003552	2381368..2382051	+	cas6
NC_003552	2382665..2383372	+	cas10
NC_003552	2383414..2384331	-	Integrase core domain.
NC_003552	2384297..2386216	+	cas10
NC_003552	2386213..2386713	+	csm2gr11
NC_003552	2386714..2387490	+	csm3gr7
NC_003552	2387483..2388556	+	csm4gr5
NC_003552	2388553..2389725	+	csm5gr7
NC_003552	2389751..2392987	+	csx1,Tetratricopeptide repeat domai,Nitrilase superfamily, includi
NC_003552	2393013..2394392	+	csx1,Nitrilase superfamily, includi
NC_003552	CAS-I-B		
NC_003552	4518093..4520246	-	cas3
NC_003552	4520330..4520953	-	cas5
NC_003552	4520955..4521956	-	cas7
NC_003552	4521959..4523323	-	cas8b2
NC_003552	4525863..4526126	-	cas2
NC_003552	4526128..4527093	-	cas1
NC_003552	4527195..4527782	-	cas4
NC_003552	4527795..4528535	-	cas6
NC_007355	CAS-I-B		
NC_007355	353461..354201	+	cas6
NC_007355	354215..354814	+	cas4
NC_007355	355078..355857	+	cas1
NC_007355	355894..356157	+	cas2
NC_007355	358540..358800	+	-
NC_007355	359947..361317	+	cas8b2
NC_007355	361320..362321	+	cas7
NC_007355	362323..362946	+	cas5
NC_007355	362969..365194	+	cas3
NC_007355	CAS-III-C		
NC_007355	1666575..1667273	+	cas6
NC_007355	1667328..1668428	+	cmr1gr7
NC_007355	1668609..1669703	+	cmr6gr7
NC_007355	1669693..1672479	+	cas10
NC_007355	1672480..1673445	+	cmr4gr7
NC_007355	1673435..1673827	+	cmr5gr11
NC_007355	1673829..1674653	+	cmr3gr5
NC_007355	CAS-I-U		
NC_007355	4009182..4009529	-	cas2
NC_007355	4009517..4011169	-	cas4,cas1
NC_007355	4011305..4012945	-	csb2gr5
NC_007355	4012950..4013999	-	csb1gr7
NC_007355	4014027..4016255	-	cas8u1
NC_007355	4016248..4018779	-	cas3
NC_003901	CAS-I-B		
NC_003901	682642..683241	-	cas4
NC_003901	683334..683624	-	cas2
NC_003901	683642..684613	-	cas1
NC_003901	684626..685276	-	cas6
NC_003901	685292..687724	-	cas3
NC_003901	687681..688379	-	cas5
NC_003901	688397..689272	-	cas7
NC_003901	689273..690925	-	cas8b1
NC_003901	691202..691804	+	casR
NC_003901	CAS-III-C		
NC_003901	4080452..4081273	-	cmr3gr5
NC_003901	4081275..4081673	-	cmr5gr11
NC_003901	4081676..4082623	-	cmr4gr7
NC_003901	4082624..4085386	-	cas10
NC_003901	4085376..4086488	-	cmr6gr7
NC_003901	4086669..4087769	-	cmr1gr7
NC_003901	4087807..4088520	-	cas6
NC_020389	partial CAS-I-B		
NC_020389	577765..578439	-	cas4
NC_020389	578457..578747	-	cas2
NC_020389	578765..579664	-	cas1
NC_020389	580267..580512	-	-
NC_020389	580700..580849	-	cas5
NC_020389	580866..581312	-	cas7
NC_020389	581425..581568	-	-
NC_020389	581736..581855	-	-
NC_020389	581913..582515	+	casR
NC_007681	CAS-I-B		
NC_007681	481730..482437	+	cas6
NC_007681	482445..484262	+	cas8b1
NC_007681	484255..485214	+	cas7
NC_007681	485226..485933	+	cas5
NC_007681	485917..488304	+	cas3
NC_007681	488317..488814	+	cas4
NC_007681	488802..489800	+	cas1
NC_007681	489794..490063	+	cas2
NC_007681	CAS-I-B		
NC_007681	1082044..1084110	+	cas8b1
NC_007681	1084115..1085038	+	cas7b
NC_007681	1085048..1085896	+	cas5
NC_007681	1085878..1088631	+	cas3
NC_007681	1088643..1089386	+	cas6
NC_007681	1089388..1089909	+	cas4
NC_007681	1089890..1090894	+	cas1
NC_007681	1090897..1091160	+	cas2
NC_011832	CAS-I-D		
NC_011832	147792..148649	+	cas6
NC_011832	148663..151851	+	cas10d
NC_011832	151853..152839	+	csc2gr7
NC_011832	152851..153600	+	csc1gr5
NC_011832	CAS-I-E		
NC_011832	1649203..1649499	-	cas2
NC_011832	1649480..1650391	-	cas1
NC_011832	1650404..1651081	-	cas6e
NC_011832	1651056..1651829	-	cas5
NC_011832	1651822..1652928	-	cas7
NC_011832	1652950..1653486	-	cse2gr11
NC_011832	1653483..1655087	-	cas8e
NC_011832	1655225..1657963	-	cas3
NC_011832	1658251..1659144	-	Restriction endonuclease [Defe
NC_011832	1660018..1660167	-	-
NC_011832	1660413..1660547	-	-
NC_011832	1660607..1661164	+	-
NC_011832	1661094..1661396	-	cas6
NC_007796	CAS-III-D		
NC_007796	839622..840875	-	csx1
NC_007796	843428..843844	+	-
NC_007796	843808..844413	+	-
NC_007796	845232..845519	-	cas2
NC_007796	845516..846511	-	cas1
NC_007796	846668..847975	+	Mre11 nuclease, N-terminal met
NC_007796	847965..851813	+	AAA domain. This domain is fou
NC_007796	851870..852721	-	cas4
NC_007796	855752..857041	-	csm3gr7,csm3gr7
NC_007796	857053..857826	-	csm3gr7
NC_007796	857826..858413	-	-
NC_007796	858417..858896	-	-
NC_007796	858896..859978	-	csx10gr5
NC_007796	859983..860642	-	csm3gr7
NC_007796	860642..863113	-	cas10
NC_007796	863115..863903	-	cas6
NC_007796	CAS-I-E		
NC_007796	1573458..1573751	-	cas2
NC_007796	1573758..1574657	-	cas1
NC_007796	1574654..1575340	-	cas6e
NC_007796	1575343..1576020	-	cas5
NC_007796	1576077..1577225	-	cas7
NC_007796	1577218..1577742	-	cse2gr11
NC_007796	1577739..1579337	-	cas8e
NC_007796	CAS-I-D		
NC_007796	2098032..2098301	-	cas2
NC_007796	2098306..2099349	-	cas1
NC_007796	2099339..2099920	-	cas4
NC_007796	2099939..2100703	-	-
NC_007796	2100798..2102876	-	cas3
NC_007796	2102873..2103607	-	csc1gr5
NC_007796	2103625..2104632	-	csc2gr7
NC_007796	2104635..2107877	-	cas10d
NC_007796	2107867..2108724	-	cas6
NC_007796	2108829..2109500	+	casR
NC_000916	CAS-III-C		
NC_000916	257970..258872	-	cmr3gr5
NC_000916	258876..259217	-	cmr5gr11
NC_000916	259228..260091	-	cmr4gr7
NC_000916	260084..262957	-	cas10
NC_000916	262944..263729	-	cmr6gr7
NC_000916	263726..264481	-	cmr1gr7
NC_000916	CAS-III-A;CAS-I-B		
NC_000916	992470..993672	-	csx1
NC_000916	993665..993892	-	csm5gr7
NC_000916	993870..994730	-	csm5gr7
NC_000916	994731..995639	-	csm4gr5
NC_000916	995646..996383	-	csm3gr7
NC_000916	996411..996833	-	csm2gr11
NC_000916	996814..999282	-	cas10
NC_000916	999392..999667	-	cas2
NC_000916	999658..1000662	-	cas1
NC_000916	1000643..1001170	-	cas4
NC_000916	1001172..1003664	-	cas3
NC_000916	1003655..1004464	-	cas5
NC_000916	1004466..1005641	-	cas7
NC_000916	1005638..1005955	-	cas11b
NC_000916	1005955..1007751	-	cas8b10
NC_000916	1007748..1008212	-	cas6
NC_015636	CAS-I-D		
NC_015636	105473..106174	-	cas6
NC_015636	106199..106462	-	cas2
NC_015636	106472..107437	-	cas1
NC_015636	107450..107968	-	cas4
NC_015636	107977..109968	-	cas3
NC_015636	110201..110644	-	csc1gr5
NC_015636	110646..111710	-	csc2gr7
NC_015636	111758..114307	-	cas10d
NC_015636	CAS-III-A		
NC_015636	1314707..1317520	+	cas10
NC_015636	1317492..1317986	+	csm2gr11
NC_015636	1318051..1318779	+	csm3gr7
NC_015636	1318831..1319982	+	csm4gr5
NC_015636	1319985..1321136	+	csm5gr7
NC_015636	1321129..1322616	+	csx1
NC_015636	1322652..1324211	+	csx1
NC_014658	partial CAS-I-B		
NC_014658	1082699..1082962	-	cas2
NC_014658	1088623..1089588	-	cas8b1
NC_014658	1089626..1090300	-	cas8b1
NC_014658	1090297..1091010	-	cas6
NC_015562	CAS-I-D		
NC_015562	211781..212383	-	casR
NC_015562	212535..215111	+	cas10d
NC_015562	215121..216173	+	csc2gr7
NC_015562	216175..216807	+	csc1gr5
NC_015562	216829..218817	+	cas3
NC_015562	218801..219349	+	cas4
NC_015562	219364..220332	+	cas1
NC_015562	220329..220586	-	cas2
NC_015562	CAS-III-A		
NC_015562	1250698..1253322	+	cas10
NC_015562	1253325..1253774	+	csm2gr11
NC_015562	1253761..1254789	+	csm3gr7
NC_015562	1254816..1255892	+	csm4gr5
NC_015562	1255889..1257031	+	csm5gr7
NC_015562	1257048..1258310	+	csx1
NC_015562	1258342..1259835	+	csx1
NC_015562	1260710..1261375	-	cas6
NC_015562	1261389..1262150	-	cas3
NC_015562	CAS-III-A		
NC_015562	1355065..1357572	+	cas10
NC_015562	1357578..1358189	+	csm2gr11
NC_015562	1358189..1359004	+	csm3gr7
NC_015562	1359004..1359948	+	csm4gr5
NC_015562	1359945..1361039	+	csm5gr7
NC_010794	partial (CAS-II-C/CAS-V-A)		
NC_010794	825262..825612	-	cas2
NC_010794	826232..826582	-	cas2
NC_010794	827260..827913	-	cas1
NC_010794	CAS-III-D		
NC_010794	831789..833801	-	csm3gr7
NC_010794	833817..834317	-	-
NC_010794	834314..835807	-	csm3gr7,csm3gr7
NC_010794	835762..837804	-	csm3gr7,csx10gr5
NC_010794	837829..839391	-	cas10
NC_007947	CAS-I-C		
NC_007947	624682..626919	+	cas3
NC_007947	627026..627703	+	cas5
NC_007947	627700..629514	+	cas8c
NC_007947	629533..630414	+	cas7
NC_007947	630452..631102	+	cas4
NC_007947	631099..632115	+	cas1
NC_007947	632123..632416	+	cas2
NC_010511	CAS-I-C		
NC_010511	1939115..1939771	+	cas5
NC_010511	1939768..1941570	+	cas8c
NC_010511	1941563..1942642	+	cas7
NC_010511	1943316..1943606	+	cas2
NC_012811	partial CAS-IV-A		
NC_012811	578459..579205	-	csf3gr5
NC_012811	579202..580944	-	DinG
NC_012811	580941..581453	-	DinG
NC_012811	581453..582571	-	csf2gr7
NC_012811	582586..583380	-	-
NC_012811	583367..584044	-	cas6e
NC_011894	CAS-I-C		
NC_011894	863901..864191	-	cas2
NC_011894	865276..865905	-	cas4
NC_011894	865898..868141	-	cas3
NC_011894	868146..869006	-	cas7b
NC_011894	868999..871128	-	cas8c
NC_011894	871118..871753	-	cas5
NC_011894	CAS-I-E		
NC_011894	5494368..5494646	-	cas2
NC_011894	5494660..5495604	-	cas1
NC_011894	5495601..5496332	-	cas6e
NC_011894	5496329..5497150	-	cas5
NC_011894	5497150..5498190	-	cas7
NC_011894	5498192..5498809	-	cse2gr11
NC_011894	5498806..5500488	-	cas8e
NC_011894	5500723..5503416	-	cas3
NC_002977	CAS-I-C		
NC_002977	684633..684923	-	cas2
NC_002977	685018..686052	-	cas1
NC_002977	686049..686681	-	cas4
NC_002977	686692..686928	-	-
NC_002977	686941..687870	-	cas7
NC_002977	687929..689632	-	cas8c
NC_002977	689629..690297	-	cas5
NC_002977	690350..692548	-	cas3
NC_002977	CAS-I-E		
NC_002977	972303..972596	-	cas2
NC_002977	972568..973458	-	cas1
NC_002977	973455..974174	-	cas6e
NC_002977	974171..974920	-	cas5
NC_002977	974931..976175	-	cas7
NC_002977	976249..976761	-	cse2gr11
NC_002977	976739..978301	-	cas8e
NC_002977	978285..980930	-	cas3
NC_016112	CAS-I-C		
NC_016112	1507403..1508269	-	WYL
NC_016112	1508368..1510671	+	cas3
NC_016112	1510760..1511491	+	cas5
NC_016112	1511481..1513247	+	cas8c
NC_016112	1513247..1514194	+	cas7
NC_016112	1514294..1514950	+	cas4
NC_016112	1514947..1515981	+	cas1
NC_016112	1515994..1516284	+	cas2
